label,anterior,labial,back,high,ATR,lateral,distributed,LONG,spread,low,syllabic,continuant,nasal,sonorant,coronal,tense,constr,vocalic,strident,EXTRA,consonantal,voice,round,freq
ⁿc,-,-,-,+,0,0,0,-,-,-,-,-,+,-,-,0,-,-,-,-,+,-,-,2
ɲ̥,-,-,-,+,0,0,0,-,-,-,-,-,+,+,-,-,-,-,-,-,+,-,-,2
ⁿɖ,-,-,-,-,0,-,-,-,-,-,-,-,+,-,+,-,-,-,-,-,+,+,-,2
qː,-,-,+,-,0,0,0,+,-,-,-,-,-,-,-,0,-,-,-,-,+,-,-,2
qˤ,-,-,+,-,0,0,0,-,-,+,-,-,-,-,-,0,-,-,-,-,+,-,-,2
ɾˡ,+,-,-,-,0,+,-,-,-,-,-,-,-,+,+,0,-,+,-,-,+,+,-,2
fː,+,+,-,-,0,0,-,+,-,-,-,+,-,-,-,-,-,-,+,-,+,-,-,2
qʰʷ,-,+,+,-,0,0,0,-,+,-,-,-,-,-,-,+,-,-,-,-,+,-,+,2
wː,+,+,+,+,0,0,0,+,-,-,-,+,-,+,-,0,-,-,-,-,-,+,-,2
tʰʷ,+,+,-,-,0,-,-,-,+,-,-,-,-,-,+,+,-,-,-,-,+,-,+,2
wˤ,+,+,+,+,0,0,0,-,-,+,-,+,-,+,-,0,-,-,-,-,-,+,-,2
dzʲ,+,-,-,+,0,-,-,-,-,-,-,-,-,-,+,0,-,-,+,-,+,+,-,2
t̪s̪ʼ,+,-,-,-,0,-,+,-,-,-,-,-,-,-,+,+,+,-,+,-,+,-,-,2
tʃʲ,-,-,-,+,0,-,+,-,-,-,-,-,-,-,+,0,-,-,+,-,+,-,-,2
d̻ʑ,-,-,-,0,0,-,+,-,-,-,-,-,-,-,+,0,-,-,+,-,+,+,-,2
ɾ̃,+,-,-,-,0,-,-,-,-,-,-,-,+,+,+,-,-,+,-,-,+,+,-,2
l̪ʲ,+,-,-,+,0,+,+,-,-,-,-,-,-,+,+,0,-,+,-,-,+,+,-,2
χː,-,-,+,-,0,0,0,+,-,-,-,+,-,-,-,0,-,-,-,-,+,-,-,2
pˤ,+,+,+,-,0,0,+,-,-,+,-,-,-,-,-,0,-,-,-,-,+,-,-,2
ʘ,+,+,+,+,0,0,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,2
j̥,-,-,-,+,0,0,0,-,+,-,-,+,-,+,-,0,-,-,-,-,-,-,-,2
ᵐbʷ,+,+,-,-,0,0,+,-,-,-,-,-,+,-,-,-,-,-,-,-,+,+,+,2
tɬʰ,+,-,-,-,0,+,0,-,+,-,-,-,-,-,+,+,-,-,-,-,+,-,-,2
z̪ʲ,+,-,-,+,0,-,+,-,-,-,-,+,-,-,+,0,-,-,+,-,+,+,-,2
ŋʼ,-,-,+,+,0,0,0,-,-,-,-,-,+,+,-,+,+,-,-,-,+,+,-,2
ɡǂ,-,-,+,+,0,-,+,-,-,-,-,-,-,-,+,-,-,-,-,-,+,+,-,2
ɬʷ,+,+,-,-,0,+,0,-,-,-,-,+,-,-,+,0,-,-,-,-,+,-,+,2
d̻,+,-,-,-,0,-,+,-,-,-,-,-,-,-,+,0,-,-,-,-,+,+,-,2
t̻ɕʼ,-,-,-,0,0,-,+,-,-,-,-,-,-,-,+,+,+,-,+,-,+,-,-,2
ʔw,+,+,+,+,0,0,0,-,-,-,-,+,-,+,-,+,+,-,-,-,-,+,-,2
ʔl,+,-,-,-,0,+,-,-,-,-,-,-,-,+,+,+,-,+,-,-,+,+,-,2
pʃʰ,-,-,-,0,0,-,+,-,+,-,-,-,-,-,0,+,-,-,+,-,+,-,-,2
ʔd,+,-,-,-,0,-,-,-,-,-,-,-,-,-,+,+,+,-,-,-,+,+,-,2
ʔb,+,+,-,-,0,0,+,-,-,-,-,-,-,-,-,+,+,-,-,-,+,+,-,2
ǂʰ,-,-,+,+,0,-,+,-,+,-,-,-,-,-,+,+,-,-,-,-,+,-,-,2
ʃʲ,-,-,-,+,0,-,+,-,-,-,-,+,-,-,+,0,-,-,+,-,+,-,-,2
ʒʷ,-,+,-,+,0,-,+,-,-,-,-,+,-,-,+,0,-,-,+,-,+,+,+,2
ʒʲ,-,-,-,+,0,-,+,-,-,-,-,+,-,-,+,0,-,-,+,-,+,+,-,2
ʕʼʷ,-,+,+,-,0,0,0,-,-,+,-,+,-,-,-,+,+,-,-,-,+,+,+,2
dˤ,+,-,+,-,0,-,-,-,-,+,-,-,-,-,+,0,-,-,-,-,+,+,-,2
t̪ː,+,-,-,-,0,-,+,+,-,-,-,-,-,-,+,0,-,-,-,-,+,-,-,2
kʰʲ,-,-,-,+,0,0,0,-,+,-,-,-,-,-,-,+,-,-,-,-,+,-,-,2
bʼ,+,+,-,-,0,0,+,-,-,-,-,-,-,-,-,+,+,-,-,-,+,+,-,2
ŋː,-,-,+,+,0,0,0,+,-,-,-,-,+,+,-,-,-,-,-,-,+,+,-,2
pfʰ,+,+,-,-,0,0,-,-,+,-,-,-,-,-,-,+,-,-,+,-,+,-,-,2
tç,-,-,-,0,0,-,0,-,-,-,-,-,-,-,0,0,-,-,-,-,+,-,-,2
tlʰ,+,-,-,-,0,+,-,-,+,-,-,-,-,-,+,+,-,-,-,-,+,-,-,2
tsʼʷ,+,+,-,-,0,-,-,-,-,-,-,-,-,-,+,+,+,-,+,-,+,-,+,2
ⁿɬ,+,-,-,-,0,+,0,-,-,-,-,+,+,-,+,0,-,-,-,-,+,-,-,2
lʷ,+,+,-,-,0,+,-,-,-,-,-,-,-,+,+,0,-,+,-,-,+,+,+,2
k̀,-,-,+,+,0,0,0,-,-,-,-,-,-,-,-,+,-,-,-,-,+,-,-,2
ʋʲ,+,+,-,+,0,0,-,-,-,-,-,+,-,+,-,0,-,-,-,-,-,+,-,2
nˤ,+,-,+,-,0,-,-,-,-,+,-,-,+,+,+,-,-,-,-,-,+,+,-,2
t̻ɕ,-,-,-,0,0,-,+,-,-,-,-,-,-,-,+,0,-,-,+,-,+,-,-,2
z̪ˤ,+,-,+,-,0,-,+,-,-,+,-,+,-,-,+,0,-,-,+,-,+,+,-,2
cçʰ,-,-,-,+,0,0,0,-,+,-,-,-,-,-,-,+,-,-,-,-,+,-,-,2
cçʼ,-,-,-,+,0,0,0,-,-,-,-,-,-,-,-,+,+,-,-,-,+,-,-,2
ǀkxʔ,+,-,+,+,0,-,+,-,-,-,-,-,-,-,+,+,+,-,-,-,+,-,-,1
bː,+,+,-,-,0,0,+,+,-,-,-,-,-,-,-,0,-,-,-,-,+,+,-,1
tz,+,-,-,-,0,-,-,-,-,-,-,-,-,-,+,0,-,-,+,-,+,-,-,1
bˡ,+,+,-,-,0,+,+,-,-,-,-,-,-,-,-,0,-,-,-,-,+,+,-,1
tx,0,-,0,0,0,-,0,-,-,0,-,-,-,-,0,-,-,-,-,-,+,-,-,1
tr,+,-,-,-,0,-,-,-,-,-,-,-,-,-,+,0,-,-,-,-,+,-,-,1
ʊ̥,-,+,+,+,-,0,0,-,+,-,+,+,-,+,-,-,-,-,-,-,-,-,+,1
dːʒ,-,-,-,+,0,-,+,+,-,-,-,-,-,-,+,-,-,-,+,-,+,+,-,1
c,-,-,-,+,0,0,0,-,-,-,-,-,+,-,-,0,-,-,-,-,+,-,-,1
dð,+,-,-,-,0,-,0,-,-,-,-,-,-,-,+,0,-,-,-,-,+,+,-,1
ř,+,-,-,-,0,-,-,-,-,-,-,+,-,+,+,0,-,+,+,-,+,+,-,1
l̪ˤː,+,-,+,-,0,+,+,+,-,+,-,-,-,+,+,0,-,+,-,-,+,+,-,1
mǃG,+,-,+,+,0,-,-,-,-,-,-,-,+,-,+,-,-,-,-,-,+,-,-,1
tʃ͡k,-,-,0,+,0,-,+,-,-,-,-,-,-,+,+,0,-,-,+,-,+,-,-,1
r̟,+,-,-,-,0,-,-,-,-,-,-,+,-,+,+,0,-,+,-,-,+,+,-,1
ʁː,-,-,+,-,0,0,0,+,-,-,-,+,-,-,-,0,-,-,-,-,+,+,-,1
ɾʲ,+,-,-,+,0,-,-,-,-,-,-,-,-,+,+,0,-,+,-,-,+,+,-,1
ɗʒ,-,-,-,+,0,-,+,-,-,-,-,-,-,-,+,+,+,-,+,-,+,+,-,1
m͡ŋ,0,0,0,0,0,0,0,-,-,-,-,-,+,+,-,-,-,-,-,-,+,+,-,1
nzʷ,+,+,-,-,0,-,-,-,-,-,-,+,+,-,+,-,-,-,+,-,+,+,+,1
ɾð,+,-,-,-,0,-,0,-,-,-,-,-,-,+,+,0,-,+,-,-,+,+,-,1
ʒʰ,-,-,-,+,0,-,+,-,+,-,-,+,-,-,+,+,-,-,+,-,+,+,-,1
ⁿʃ,-,-,-,+,0,-,+,-,-,-,-,+,+,-,+,0,-,-,+,-,+,-,-,1
ǂkxʔ,-,-,+,+,0,-,+,-,-,-,-,-,-,-,+,+,+,-,-,-,+,-,-,1
ɡǀʰ,+,-,+,+,0,-,+,-,+,-,-,-,-,-,+,+,-,-,-,-,+,+,-,1
x̀ʷ,-,+,+,+,0,0,0,-,-,-,-,+,-,-,-,+,-,-,-,-,+,-,+,1
ʈⁿ,-,-,-,-,0,-,-,-,-,-,-,-,+,-,+,0,-,-,-,-,+,-,-,1
r̟ʲ,+,-,-,+,0,-,-,-,-,-,-,+,-,+,+,0,-,+,-,-,+,+,-,1
ᵐdʒ,-,-,-,+,0,-,+,-,-,-,-,-,+,-,+,-,-,-,+,-,+,+,-,1
d̪ː,+,-,-,-,0,-,+,+,-,-,-,-,-,-,+,0,-,-,-,-,+,+,-,1
ᵐpʼ,+,+,-,-,0,0,+,-,-,-,-,-,+,-,-,+,+,-,-,-,+,-,-,1
t̪ˤː,+,-,+,-,0,-,+,+,-,+,-,-,-,-,+,0,-,-,-,-,+,-,-,1
ɦʷ,-,+,-,-,0,0,0,-,-,+,-,+,-,+,-,0,-,-,-,-,-,+,+,1
mˡ,+,+,-,-,0,+,+,-,-,-,-,-,+,+,-,-,-,-,-,-,+,+,-,1
mˠ,+,+,+,+,0,0,+,-,-,-,-,-,+,+,-,-,-,-,-,-,+,+,-,1
ɕɥ,-,+,-,+,0,-,+,-,-,-,-,+,-,-,+,0,-,-,+,-,+,-,+,1
ʒ̥,-,-,-,+,0,-,+,-,-,-,-,+,-,-,+,0,-,-,+,-,+,+,-,1
ɟʷ,-,+,-,+,0,0,0,-,-,-,-,-,-,-,-,0,-,-,-,-,+,+,+,1
ɴʼ,-,-,+,-,0,0,0,-,-,-,-,-,+,+,-,+,+,-,-,-,+,+,-,1
n̟ʲ,+,-,-,+,0,-,-,-,-,-,-,-,+,+,+,-,-,-,-,-,+,+,-,1
nd̥,+,-,-,-,0,-,-,-,-,-,-,-,+,-,+,-,-,-,-,-,+,-,-,1
kˤ,-,-,+,+,0,0,0,-,-,+,-,-,-,-,-,0,-,-,-,-,+,-,-,1
vɾ,+,+,-,-,0,0,-,-,-,-,-,-,-,+,-,0,-,+,-,-,+,+,-,1
tʂ,-,-,0,0,0,0,-,-,-,0,-,-,-,-,+,0,-,-,+,-,+,-,-,1
b͡d,+,0,-,-,0,-,0,-,-,-,-,-,-,-,0,0,-,-,-,-,+,+,-,1
mǀG,+,-,+,+,0,-,+,-,-,-,-,-,+,-,+,-,-,-,-,-,+,-,-,1
l̟,+,-,-,-,0,+,-,-,-,-,-,-,-,+,+,0,-,+,-,-,+,+,-,1
ʔʘn,+,-,+,+,0,-,-,-,-,-,-,-,+,-,+,+,+,-,-,-,+,-,-,1
ǀq,+,-,+,+,0,-,+,-,-,-,-,-,-,-,+,-,-,-,-,-,+,-,-,1
ǀn,+,-,+,+,0,-,+,-,-,-,-,-,+,-,+,-,-,-,-,-,+,-,-,1
n̪ʰ,+,-,-,-,0,-,+,-,+,-,-,-,+,+,+,+,-,-,-,-,+,+,-,1
ᵐɡ͡b,+,+,+,+,0,0,0,-,-,-,-,-,+,-,-,-,-,-,-,-,+,+,-,1
ʃ̀,-,-,-,+,0,-,+,-,-,-,-,+,-,-,+,+,-,-,+,-,+,-,-,1
ǂqʰ,-,-,+,+,0,-,+,-,+,-,-,-,-,-,+,-,-,-,-,-,+,-,-,1
b̥,+,+,-,-,0,0,+,-,-,-,-,-,-,-,-,0,-,-,-,-,+,-,-,1
tswʰ,+,+,-,-,0,-,-,-,+,-,-,-,-,-,+,+,-,-,+,-,+,-,+,1
ⁿdɮ,+,-,-,-,0,+,0,-,-,-,-,-,+,-,+,-,-,-,-,-,+,+,-,1
tsʰʷ,+,+,-,-,0,-,-,-,+,-,-,-,-,-,+,+,-,-,+,-,+,-,+,1
mǂG,-,-,+,+,0,-,+,-,-,-,-,-,+,-,+,-,-,-,-,-,+,-,-,1
b͡tʃ,-,-,-,0,0,-,0,-,-,-,-,-,-,-,0,0,-,-,+,-,+,0,-,1
tʃ̀,-,-,-,+,0,-,+,-,-,-,-,-,-,-,+,+,-,-,+,-,+,-,-,1
zʷ͡ɣw,+,0,0,0,0,-,0,-,-,-,-,+,-,-,0,0,-,-,0,-,+,+,+,1
mβ,+,+,-,-,0,0,+,-,-,-,-,+,+,0,-,-,-,-,-,-,+,+,-,1
ᵐts,+,-,-,-,0,-,-,-,-,-,-,-,+,-,+,0,-,-,+,-,+,-,-,1
l̩,+,-,-,-,0,+,-,-,-,-,+,-,-,+,+,0,-,+,-,-,+,+,-,1
s̻ˤ,+,-,+,-,0,-,+,-,-,+,-,+,-,-,+,0,-,-,+,-,+,-,-,1
t̪s̪ʰ,+,-,-,-,0,-,+,-,+,-,-,-,-,-,+,+,-,-,+,-,+,-,-,1
xː,-,-,+,+,0,0,0,+,-,-,-,+,-,-,-,0,-,-,-,-,+,-,-,1
z̪ˤː,+,-,+,-,0,-,+,+,-,+,-,+,-,-,+,0,-,-,+,-,+,+,-,1
ts̀,+,-,-,-,0,-,-,-,-,-,-,-,-,-,+,+,-,-,+,-,+,-,-,1
ǃqʰ,+,-,+,+,0,-,-,-,+,-,-,-,-,-,+,-,-,-,-,-,+,-,-,1
s̪v,+,0,-,-,0,-,0,-,-,-,-,+,-,-,0,0,-,-,+,-,+,-,-,1
ɡǃʰ,+,-,+,+,0,-,-,-,+,-,-,-,-,-,+,+,-,-,-,-,+,+,-,1
ⁿdβ,+,0,-,-,0,-,0,-,-,-,-,-,+,-,0,-,-,-,-,-,+,+,-,1
t̪s̪ː,+,-,-,-,0,-,+,+,-,-,-,-,-,-,+,0,-,-,+,-,+,-,-,1
ʃ͡kʷ,-,+,0,+,0,-,+,-,-,-,-,-,-,-,+,0,-,-,-,-,+,-,+,1
nɡǂ,-,-,+,+,0,-,+,-,-,-,-,-,+,-,+,0,-,-,-,-,+,+,-,1
ǃqʔ,+,-,+,+,0,-,-,-,-,-,-,-,-,-,+,+,+,-,-,-,+,-,-,1
jʷ,-,+,-,+,0,0,0,-,-,-,-,+,-,+,-,0,-,-,-,-,-,+,+,1
s̪ˤː,+,-,+,-,0,-,+,+,-,+,-,+,-,-,+,0,-,-,+,-,+,-,-,1
ɔ̥,-,+,+,-,-,0,0,-,+,-,+,+,-,+,-,-,-,-,-,-,-,-,+,1
š,+,-,-,-,0,-,-,-,-,-,-,+,-,-,+,0,-,-,+,-,+,-,-,1
k̀ʷ,-,+,+,+,0,0,0,-,-,-,-,-,-,-,-,+,-,-,-,-,+,-,+,1
r̥ʰ,+,-,-,-,0,-,-,-,+,-,-,+,-,+,+,+,-,-,-,-,+,-,-,1
ǁqʔ,+,-,+,+,0,+,0,-,-,-,-,-,-,-,+,+,+,-,-,-,+,-,-,1
ɲː,-,-,-,+,0,0,0,+,-,-,-,-,+,+,-,-,-,-,-,-,+,+,-,1
tʂʼ,-,-,0,0,0,0,-,-,-,0,-,-,-,-,+,+,+,-,+,-,+,-,-,1
ʔǂn,-,-,+,+,0,-,+,-,-,-,-,-,+,-,+,+,+,-,-,-,+,-,-,1
ⁿtʃʼ,-,-,-,+,0,-,+,-,-,-,-,-,+,-,+,+,+,-,+,-,+,-,-,1
ǁqʰ,+,-,+,+,0,+,0,-,+,-,-,-,-,-,+,-,-,-,-,-,+,-,-,1
r͡ɣw,+,0,0,0,0,-,0,-,-,-,-,-,-,0,0,0,-,0,+,-,+,+,+,1
d̪ˤː,+,-,+,-,0,-,+,+,-,+,-,-,-,-,+,0,-,-,-,-,+,+,-,1
qɰ,-,-,+,-,0,0,0,-,-,-,-,+,-,+,-,0,-,-,-,-,-,+,-,1
bɮ,+,0,-,-,0,+,0,-,-,-,-,-,-,-,0,0,-,-,-,-,+,+,-,1
d̪z̪ʷ,+,+,-,-,0,-,+,-,-,-,-,-,-,-,+,0,-,-,+,-,+,+,+,1
b͡dʒ,-,-,-,0,0,-,0,-,-,-,-,-,-,-,0,0,-,-,+,-,+,+,-,1
ʘn̥,+,+,+,+,0,0,+,-,-,-,-,-,+,-,-,-,-,-,-,-,+,-,-,1
vʰ,+,+,-,-,0,0,-,-,+,-,-,+,-,-,-,+,-,-,+,-,+,+,-,1
p͡k,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,0,-,-,-,-,+,-,-,1
p͡t,+,0,-,-,0,-,0,-,-,-,-,-,-,-,0,0,-,-,-,-,+,-,-,1
zʼ,+,-,-,-,0,-,-,-,-,-,-,+,-,-,+,+,+,-,+,-,+,+,-,1
ʁˤʷ,-,+,+,-,0,0,0,-,-,+,-,+,-,-,-,0,-,-,-,-,+,+,+,1
pʰʷ,+,+,-,-,0,0,+,-,+,-,-,-,-,-,-,+,-,-,-,-,+,-,+,1
ⁿr,+,-,-,-,0,-,-,-,-,-,-,+,+,+,+,-,-,+,-,-,+,+,-,1
tʲʰ,+,-,-,+,0,-,-,-,+,-,-,-,-,-,+,+,-,-,-,-,+,-,-,1
ǁʔ,+,-,+,+,0,+,0,-,-,-,-,-,-,-,+,+,+,-,-,-,+,-,-,1
b͡dz,+,0,-,-,0,-,0,-,-,-,-,-,-,-,0,0,-,-,+,-,+,+,-,1
ɲɥ,-,+,-,+,0,0,0,-,-,-,-,-,+,+,-,-,-,-,-,-,+,+,+,1
ⁿtsʼ,+,-,-,-,0,-,-,-,-,-,-,-,+,-,+,+,+,-,+,-,+,-,-,1
dx,0,-,0,0,0,-,0,-,-,0,-,-,-,-,0,-,-,-,-,-,+,0,-,1
tsjʰ,+,-,-,+,0,-,-,-,+,-,-,-,-,-,+,+,-,-,+,-,+,-,-,1
n̟,+,-,-,-,0,-,-,-,-,-,-,-,+,+,+,-,-,-,-,-,+,+,-,1
n̞,+,-,-,-,0,-,-,-,-,-,-,-,+,+,+,-,-,-,-,-,+,+,-,1
ⁿtɸ,+,0,-,-,0,-,0,-,-,-,-,-,+,-,0,0,-,-,-,-,+,-,-,1
pʷʼ,+,+,-,-,0,0,+,-,-,-,-,-,-,-,-,+,+,-,-,-,+,-,+,1
klʼ,-,-,+,+,0,+,0,-,-,-,-,-,-,-,-,+,+,-,-,-,+,-,-,1
pɸ,+,+,-,-,0,0,+,-,-,-,-,-,-,-,-,0,-,-,-,-,+,-,-,1
ɲ̥ʃ,-,-,-,+,0,-,+,-,-,-,-,+,0,-,+,0,-,-,+,-,+,-,-,1
ʒ̥ʷ,-,+,-,+,0,-,+,-,-,-,-,+,-,-,+,0,-,-,+,-,+,+,+,1
nˤː,+,-,+,-,0,-,-,+,-,+,-,-,+,+,+,-,-,-,-,-,+,+,-,1
ʃ̥ʷ,-,+,-,+,0,-,+,-,-,-,-,+,-,-,+,0,-,-,+,-,+,-,+,1
n̤,+,-,-,-,0,-,-,-,+,-,-,-,+,+,+,+,-,-,-,-,+,+,-,1
tsx,+,-,0,0,0,-,0,-,-,0,-,-,-,-,0,-,-,-,0,-,+,-,-,1
n̩,+,-,-,-,0,-,-,-,-,-,+,-,+,+,+,-,-,-,-,-,+,+,-,1
hˤ,0,-,+,0,0,0,0,-,+,+,-,+,-,+,-,0,-,-,-,-,-,-,-,1
ɛ̥,-,-,-,-,-,0,0,-,+,-,+,+,-,+,-,-,-,-,-,-,-,-,-,1
tʃʰʷ,-,+,-,+,0,-,+,-,+,-,-,-,-,-,+,+,-,-,+,-,+,-,+,1
ɡǂʰ,-,-,+,+,0,-,+,-,+,-,-,-,-,-,+,+,-,-,-,-,+,+,-,1
ɡǂx,-,-,+,+,0,-,+,-,-,-,-,-,-,-,+,-,-,-,-,-,+,+,-,1
ⁿdʲ,+,-,-,+,0,-,-,-,-,-,-,-,+,-,+,-,-,-,-,-,+,+,-,1
ɰʼ,-,-,+,+,0,0,0,-,-,-,-,+,-,+,-,+,+,-,-,-,-,+,-,1
ɓ̥,+,+,-,-,0,0,+,-,-,-,-,-,-,-,-,0,+,-,-,-,+,-,-,1
ʔˤ,0,-,+,0,0,0,0,-,+,+,-,-,-,+,-,0,+,-,-,-,-,-,-,1
ɟ̥,-,-,-,+,0,0,0,-,-,-,-,-,-,-,-,0,-,-,-,-,+,-,-,1
ǀqʰ,+,-,+,+,0,-,+,-,+,-,-,-,-,-,+,-,-,-,-,-,+,-,-,1
z̻ˤ,-,-,+,+,0,-,+,-,-,+,-,+,-,-,+,0,-,-,+,-,+,+,-,1
tɕɥ,-,+,-,+,0,-,+,-,-,-,-,-,-,-,+,0,-,-,-,-,+,-,+,1
tθ,+,-,-,-,0,-,0,-,-,-,-,-,-,-,+,0,-,-,-,-,+,-,-,1
n̞s̞,+,-,-,-,0,-,-,-,-,-,-,+,+,-,+,0,-,-,+,-,+,-,-,1
tçʰ,-,-,-,0,0,-,0,-,+,-,-,-,-,-,0,+,-,-,-,-,+,-,-,1
ʋ̃,+,+,-,-,0,0,-,-,-,-,-,+,+,+,-,-,-,-,-,-,-,+,-,1
rˤː,+,-,+,-,0,-,-,+,-,+,-,+,-,+,+,0,-,+,-,-,+,+,-,1
d̪z̪ʲ,+,-,-,+,0,-,+,-,-,-,-,-,-,-,+,0,-,-,+,-,+,+,-,1
ɡʘ,+,+,+,+,0,0,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,-,1
z͡ɣw,+,0,0,0,0,-,0,-,-,-,-,+,-,-,0,0,-,-,0,-,+,+,+,1
t̻s̻,+,-,-,-,0,-,+,-,-,-,-,-,-,-,+,0,-,-,+,-,+,-,-,1
kʷː,-,+,+,+,0,0,0,+,-,-,-,-,-,-,-,0,-,-,-,-,+,-,+,1
mnl,+,0,0,0,0,+,0,-,-,0,-,-,+,+,0,-,-,-,-,-,+,+,-,1
d̪ð,+,-,-,-,0,-,0,-,-,-,-,-,-,-,+,0,-,-,-,-,+,+,-,1
nǂ,-,-,+,+,0,-,+,-,-,-,-,-,+,-,+,0,-,-,-,-,+,-,-,1
m̥ʰ,+,+,-,-,0,0,+,-,+,-,-,-,+,+,-,+,-,-,-,-,+,-,-,1
fʃ,-,-,-,0,0,-,+,-,-,-,-,+,-,-,0,0,-,-,+,-,+,-,-,1
ɲ͡ŋ,-,-,0,+,0,0,+,-,-,-,-,-,+,+,-,-,-,-,-,-,+,+,-,1
ɹː,+,-,-,-,0,-,-,+,-,-,-,+,-,+,+,0,-,+,-,-,+,+,-,1
b͡ɗ,+,0,-,-,0,-,0,-,-,-,-,-,-,-,0,+,+,-,+,-,+,+,-,1
ɲ͡ŋw,-,+,0,+,0,0,+,-,-,-,-,-,+,+,-,-,-,-,-,-,+,+,+,1
tʃ͡kʷ,-,+,0,+,0,-,+,-,-,-,-,-,-,-,+,0,-,-,+,-,+,-,+,1
ǂn̥,-,-,+,+,0,-,+,-,-,-,-,-,+,-,+,-,-,-,-,-,+,-,-,1
dʼkxʼ,+,-,0,0,0,-,0,-,-,-,-,-,-,-,0,+,+,-,0,-,+,0,-,1
k͡pʲ,+,+,+,+,0,0,0,-,-,-,-,-,-,-,-,0,-,-,-,-,+,-,-,1
k͡pʷ,+,+,+,+,0,0,0,-,-,-,-,-,-,-,-,0,-,-,-,-,+,-,+,1
vˡ,+,+,-,-,0,+,-,-,-,-,-,+,-,-,-,0,-,-,+,-,+,+,-,1
ǃkxʔ,+,-,+,+,0,-,-,-,-,-,-,-,-,-,+,+,+,-,-,-,+,-,-,1
vˤ,+,+,+,-,0,0,-,-,-,+,-,+,-,-,-,0,-,-,+,-,+,+,-,1
χ̀ʷ,-,+,+,-,0,0,0,-,-,-,-,+,-,-,-,+,-,-,-,-,+,-,+,1
χʲ,-,-,-,+,0,0,0,-,-,-,-,+,-,-,-,0,-,-,-,-,+,-,-,1
ɪ̥,-,-,-,+,-,0,0,-,+,-,+,+,-,+,-,-,-,-,-,-,-,-,-,1
t̪ʃ,0,-,-,0,0,-,+,-,-,-,-,-,-,-,0,0,-,-,+,-,+,-,-,1
θʼ,+,-,0,0,0,0,0,-,-,0,-,+,-,-,+,+,+,-,-,-,+,-,-,1
dʒ͡ɣʷ,-,+,0,+,0,-,+,-,-,-,-,-,-,-,+,0,-,-,0,-,+,+,+,1
s͡kʷ,+,+,0,0,0,-,0,-,-,-,-,-,-,-,0,0,-,-,-,-,+,-,+,1
w*,+,+,+,+,0,0,0,-,-,-,-,+,-,+,-,-,-,-,-,-,-,+,-,1
ɠ̥,-,-,+,+,0,0,0,-,-,-,-,-,-,-,-,-,+,-,-,-,+,-,-,1
ǁkxʔ,+,-,+,+,0,+,0,-,-,-,-,-,-,-,+,+,+,-,-,-,+,-,-,1
ⁿtʰ,+,-,-,-,0,-,-,-,+,-,-,-,+,-,+,+,-,-,-,-,+,-,-,1
x̀,-,-,+,+,0,0,0,-,-,-,-,+,-,-,-,+,-,-,-,-,+,-,-,1
ɖʲ,-,-,-,-,0,-,-,-,-,-,-,-,-,-,+,0,-,-,-,-,+,+,-,1
ɦ̃,-,-,-,-,0,0,0,-,-,+,-,+,+,+,-,-,-,-,-,-,-,+,-,1
ᵑɡ̥,-,-,+,+,0,0,0,-,-,-,-,-,+,-,-,-,-,-,-,-,+,-,-,1
n̪ː,+,-,-,-,0,-,+,+,-,-,-,-,+,+,+,-,-,-,-,-,+,+,-,1
ɢˤ,-,-,+,-,0,0,0,-,-,+,-,-,-,-,-,0,-,-,-,-,+,+,-,1
ǃʔ,+,-,+,+,0,-,-,-,-,-,-,-,-,-,+,+,+,-,-,-,+,-,-,1
ǃʒ,+,-,+,+,0,-,-,-,-,-,-,-,-,-,+,0,-,-,-,-,+,-,-,1
ɣʲ,-,-,-,+,0,0,0,-,-,-,-,+,-,-,-,0,-,-,-,-,+,+,-,1
ⁿtɬ,+,-,-,-,0,+,0,-,-,-,-,-,+,-,+,0,-,-,-,-,+,-,-,1
ɣʰ,-,-,+,+,0,0,0,-,+,-,-,+,-,-,-,+,-,-,-,-,+,+,-,1
ŋ̥ʰ,-,-,+,+,0,0,0,-,+,-,-,-,+,+,-,+,-,-,-,-,+,-,-,1
ɟʑ,-,-,-,+,0,-,+,-,-,-,-,-,-,-,0,0,-,-,-,-,+,+,-,1
ǃʃ,+,-,+,+,0,-,-,-,-,-,-,-,-,-,+,0,-,-,-,-,+,-,-,1
ǃd,+,-,+,+,0,-,-,-,-,-,-,-,-,-,+,0,-,-,-,-,+,-,-,1
ʂʰ,-,-,-,-,0,-,-,-,+,-,-,+,-,-,+,+,-,-,+,-,+,-,-,1
ǃq,+,-,+,+,0,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,+,-,-,1
ǃs,+,-,+,+,0,-,-,-,-,-,-,-,-,-,+,0,-,-,-,-,+,-,-,1
ǃr,+,-,+,+,0,-,-,-,-,-,-,-,-,-,+,0,-,-,-,-,+,-,-,1
ɡʘʰ,+,+,+,+,0,0,+,-,+,-,-,-,-,-,-,+,-,-,-,-,+,+,-,1
ǃt,+,-,+,+,0,-,-,-,-,-,-,-,-,-,+,0,-,-,-,-,+,-,-,1
ǃx,+,-,+,+,0,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,+,-,-,1
